DRR091839_1.mature	DRR091842_1.mature	DRR091837_1.mature	DRR091838_1.mature	DRR091840_1.mature	DRR091848_1.mature	DRR091841_1.mature	DRR091847_1.mature	DRR091844_1.mature	DRR091849_1.mature	DRR091845_1.mature	DRR091846_1.mature	DRR091843_1.mature
hsa-miR-27a-3p	3141.48733962606	3557.66367609612	2641.9076253507	3232.11804425393	2931.76700013707	1975.01306569551	2344.57959046756	1741.81541867433	3565.30948545277	1694.17663709361	1752.96637383403	3357.63122174166	2713.33355270786
hsa-miR-200c-3p	1329.60363497427	2201.07373343397	1546.35720997679	2563.73198325651	1646.8375682363	1829.34001097232	6381.97664484405	4181.97706989214	657.451063835129	1974.1287487525	5510.70087805889	7728.65431415588	2300.29773898272
hsa-miR-23b-3p	3911.57565119772	1739.5230502697	3644.12861886002	3974.32107885575	4975.25173785286	685.773869275367	1329.81396180908	1076.85234522609	2294.34308576614	349.568402100381	1135.33942378902	1495.74048636904	2467.24073540725
hsa-miR-451a	2216.84466039387	6723.76814948889	1313.80426522059	2335.20376497401	695.402854517514	1348.94555158471	2214.41556046242	2583.26739939807	2404.49057215395	688.728154950286	1201.70912634631	9412.48568186237	618.631115313685
hsa-miR-192-5p	1160.45759071422	1174.35003487858	890.311310594608	920.124770980275	967.507997710768	4620.51412855642	2400.49874283161	2256.79974059919	948.44822011946	5929.95617298512	1522.04012025077	6249.4240273709	2188.90529168841
hsa-miR-98-5p	1322.97867835724	1944.36551102583	1226.29722930717	1519.25985674057	1313.75764447993	3938.52906518865	1878.98628050839	783.767845522428	1415.54047854257	6216.39679326768	2044.64753951961	1710.37308096189	1917.56222478316
hsa-miR-28-3p	1673.09505653558	1707.20249142971	2649.18560778969	2453.38702271384	1985.62091534467	1197.26266680119	1484.72628436124	1027.26853539347	2735.46131662378	657.367029935867	1234.10214820181	1009.2120733095	2146.17410004979
hsa-miR-24-3p	2790.02919808224	1997.65075668095	2022.33726148625	2866.30547506179	2520.39462854879	738.686503502177	1314.22853190057	1055.98787079157	1454.80968631952	688.998509476273	1025.77902542439	991.029954780216	1960.19630007715
hsa-miR-151a-3p	1156.51616082814	1046.92404783039	1320.82537769114	1588.51083197769	1459.14309065254	3004.26178776663	1471.70988136073	2241.09001867202	1247.54575110217	2560.25736109096	1205.02041302487	4577.71407201726	1393.42531279761
hsa-miR-183-5p	398.252138914715	1912.70009864882	261.322381220883	677.137557868042	534.15152156572	5063.93506822504	2100.95020535926	2432.79771906445	340.832070189605	4305.80135812198	1611.01295361389	4964.55431796795	1694.38886481599
