DRR091843_1.hairpin	DRR091838_1.hairpin	DRR091844_1.hairpin	DRR091849_1.hairpin	DRR091841_1.hairpin	DRR091842_1.hairpin	DRR091839_1.hairpin	DRR091845_1.hairpin	DRR091840_1.hairpin	DRR091847_1.hairpin	DRR091846_1.hairpin	DRR091837_1.hairpin	DRR091848_1.hairpin
hsa-mir-130a	1909.56617654655	2574.59414719461	1256.98913960417	459.69116402958	713.111804890544	1214.25687923149	3796.8767055333	738.204301430859	2665.12441212163	1296.29017208783	1997.8536744004	2281.93085596342	644.752668247468
hsa-mir-378a	1369.60740730715	3263.88835292308	2141.47555311692	1354.97494441953	600.999490573287	596.728720331129	1825.37092234949	826.802344021278	3040.06901298937	352.009831213506	237.35184678774	1966.2084664301	477.552153923968
hsa-mir-152	1139.59148149587	1937.93370954808	1672.38779626332	554.721285970413	748.706859328204	1375.99044465778	2605.63340551885	580.283362920455	2591.12762760639	178.798644425908	496.902067735485	2154.47794664029	1849.13080224437
hsa-mir-29c	1306.31686168298	2172.25805558519	1358.83238121014	812.075587494391	1718.24834210638	831.618931759549	2143.93740560785	1461.19138180611	2145.0799712268	838.517749863465	782.065797329389	1453.19595698563	469.535690908458
hsa-mir-425	2176.1097886895	692.565230863506	390.491342135949	3416.08280450468	1291.10768885446	1114.92162951291	543.215960839136	550.863402212949	554.355799077883	336.045666532621	1392.09419491874	372.465123136085	5335.14700498911
hsa-mir-103a-2	988.055832258554	871.579515526379	976.089981370299	1858.77099757955	2262.82846067984	1475.32569437636	704.001874559157	1586.98707586579	758.570388745648	704.418766544034	1490.27931139569	753.368909218221	1943.41967676013
hsa-mir-103a-1	950.443165144758	838.571898254653	935.684782254885	1803.75355856117	2211.00981000189	1431.93376218882	682.588797264669	1558.91975702989	728.392929138873	690.051018331238	1474.05742258645	724.561059850665	1882.72359964269
hsa-mir-23a	1723.31114228112	1813.93212033808	1341.3972610439	707.042294822944	947.990735533609	1785.88282887562	1711.54351146826	569.800388415482	1934.251143837	330.05910477729	306.0814283216	1611.78462269592	492.058134618701
hsa-mir-342	2155.13349356835	1743.45639697413	936.238278133178	1192.19607525772	1492.08656765213	1236.13215083017	1622.88585810862	262.412523092234	1824.70283156583	456.974213990322	784.200256383236	691.097396443907	1124.59524017587
hsa-mir-181a-2	1277.38404082621	749.064755923217	1950.51947510572	1199.47110851635	901.741379087398	1642.07981394005	926.397344003673	287.098237249106	1196.76363783033	556.750243245851	1452.28594023722	820.296236031736	2172.84321353735
hsa-mir-320a	2061.10182578386	1550.16854808564	1183.09743985201	1398.17045439264	1110.22669793655	1264.82103161532	953.821109661527	907.28453538204	1328.63500241336	148.466731532227	396.582492204696	1596.94421544596	641.317041240821
hsa-mir-181a-1	1257.49272648719	734.493825776239	1938.06581784412	1184.01166284177	898.351373902858	1633.11453869469	927.900016094514	285.745595377497	1187.25567110491	550.76368149052	1438.19851048183	799.345072855332	2165.59022318999
hsa-mir-4532	1290.04214995105	212.021901934599	4560.80603713709	119.583359188704	2464.77591238738	618.245380919992	506.400494613524	498.110369220181	269.943577030468	651.737023097115	467.446532792402	386.141576876238	208.046302069195
hsa-mir-93	1555.13912105116	455.861957455455	458.017839287736	1040.32975598386	2490.92738095383	1451.65736772861	264.094619965362	2620.40546577541	382.799008162654	504.467603915954	604.905695860122	272.365121293262	902.424693746012
hsa-mir-200a	951.528145926887	1479.99019064305	15.7746325313601	3560.67409051992	2398.18652483394	72.4394239825049	1152.54949367529	20.2896280741418	885.067685179528	7.98208234044231	4.26891810769317	890.424434997202	2056.03189531135
hsa-mir-22	919.702042984445	930.755333878392	1330.88083935633	2021.54986674136	909.247819138877	1152.93439655323	734.806652421404	406.130721950738	792.468357071067	173.211186787598	421.769109040085	852.013969173794	1903.71909801665
